一丁点儿 (yi1,ding1,dian3,er5)
一唱一和 (yi1,chang4,yi1,he4)
一回儿 (yi4,hui2,er5)
一场 (yi4,chang2)
一场春梦 (yi1,chang3,chun1,meng4)
一场梦 (yi4,chang2,meng4)
一场空 (yi1,chang2,kong1)
一场雨 (yi1,chang2,yu3)
一块石头落了地 (yi1,kuai4,shi2,tou5,luo4,le5,di4)
一块石头落地 (yi1,kuai4,shi2,tou2,luo4,di4)
一声不吭 (yi4,sheng1,bu4,keng1)
一声不响 (yi4,sheng1,bu4,xiang3)
一夕一朝 (yi1,xi1,yi1,zhao1)
一夕之间 (yi4,xi1,zhi1,jian1)
一夜情 (yi2,ye4,qing2)
一夜走红 (yi2,ye4,zou3,hong2)
一大堆 (yi2,da4,dui1)
一天星斗 (yi1,tian1,xing1,dou3)
一如既往 (yi4,ru2,ji4,wang3)
一定 (yi2,ding4)
一定不易 (yi1,ding4,bu4,yi4)
一定不移 (yi1,ding4,bu4,yi2)
一宿 (yi1,xiu3)
一尘不到 (yi1,chen2,bu4,dao4)
一尘不染 (yi4,chen2,bu4,ran3)
一差二错 (yi1,cha1,er4,cuo4)
一帆风顺 (yi4,fan1,feng1,shun4)
一幕 (yi2,mu4)
一年一度 (yi1,nian2,yi1,du4)
一年到头 (yi4,nian2,dao4,tou2)
一年半载 (yi4,nian2,ban4,zai3)
一年级 (yi4,nian2,ji2)
一度 (yi2,du4)
一得 (yi1,de5)
一得之功 (yi1,de2,zhi1,gong1)
一得之愚 (yi1,de2,zhi1,yu2)
一得之见 (yi1,de2,zhi1,jian4)
一心一意 (yi4,xin1,yi2,yi4)
一心向往 (yi4,xin1,xiang4,wang3)
一念之差 (yi1,nian4,zhi1,cha1)
一念之间 (yi2,nian4,zhi1,jian1)
一怒之下 (yi2,nu4,zhi1,xia4)
一怔 (yi2,zheng4)
一意孤行 (yi2,yi4,gu1,xing2)
一成 (yi4,cheng2)
一成不变 (yi4,cheng2,bu2,bian4)
一成不易 (yi1,cheng2,bu4,yi4)
一扎 (yi1,za1)
一打 (yi4,da2)
一技之长 (yi2,ji4,zhi1,chang2)
一把子 (yi1,ba4,zi5)
一抔黄沙 (yi4,pou2,huang2,sha1)
一报还一报 (yi1,bao4,huan2,yi1,bao4)
一掊土 (yi1,pou2,tu3)
一撮 (yi1,zuo3)
一文不值 (yi4,wen2,bu4,zhi2)
一方面 (yi4,fang1,mian4)
一无可取 (yi4,wu2,ke3,qu3)
一无所得 (yi4,wu2,suo3,de2)
一无所有 (yi4,wu2,suo3,you3)
一无所知 (yi4,wu2,suo3,zhi1)
一无是处 (yi4,wu2,shi4,chu4)
一无长物 (yi1,wu2,chang2,wu4)
一日三省 (yi1,ri4,san1,xing3)
一日三秋 (yi2,ri4,san1,qiu1)
一旦 (yi2,dan4)
一时千载 (yi1,shi2,qian1,zai3)
一时半会儿 (yi1,shi2,ban4,hui4,er5)
一时得逞 (yi4,shi2,de2,cheng3)
一时疏忽 (yi4,shi2,shu1,hu1)
一暴十寒 (yi1,pu4,shi2,han2)
一曝十寒 (yi1,pu4,shi2,han2)
一月 (yi2,yue4)
一服 (yi1,fu4)
一服药 (yi1,fu4,yao4)
一望无垠 (yi2,wang4,wu2,yin2)
一望无涯 (yi2,wang4,wu2,ya2)
一望无际 (yi2,wang4,wu2,ji4)
一朝 (yi1,zhao1)
一朝一夕 (yi1,zhao1,yi1,xi1)
一朝之忿 (yi1,zhao1,zhi1,fen4)
一朝天子一朝臣 (yi4,chao2,tian1,zi3,yi4,chao2,chen2)
一棍子打死 (yi1,gun4,zi5,da3,si3)
一模一样 (yi4,mu2,yi2,yang4)
一次性 (yi2,ci4,xing4)
一步一个脚印 (yi1,bu4,yi1,ge4,jiao3,yin4)
一步一步 (yi2,bu4,yi2,bu4)
一步步 (yi2,bu4,bu4)
一步步地 (yi2,bu4,bu4,de5)
一毛不拔 (yi4,mao2,bu4,ba2)
一毫不差 (yi1,hao2,bu4,cha1)
一气之下 (yi2,qi4,zhi1,xia4)
一沓纸 (yi4,da2,zhi3)
一沓钞票 (yi4,da2,chao1,piao4)
一波三折 (yi4,bo1,san1,zhe2)
一泻千里 (yi2,xie4,qian1,li3)
一派胡言 (yi2,pai4,hu2,yan2)
一派胡言乱语 (yi2,pai4,hu2,yan2,luan4,yu3)
一流 (yi4,liu2)
一清二楚 (yi4,qing1,er4,chu3)
一清宿弊 (yi4,qing1,su4,bi4)
一溜儿 (yi1,liu4,er2)
一溜烟 (yi2,liu4,yan1)
一溜烟跑掉 (yi2,liu4,yan1,pao3,diao4)
一点 (yi4,dian3)
一点钟 (yi4,dian3,zhong1)
一片散沙 (yi1,pian4,san4,sha1)
一片昏黑 (yi2,pian4,hun1,hei1)
一片混乱 (yi2,pian4,hun4,luan4)
一片空白 (yi2,pian4,kong4,bai2)
一物降一物 (yi1,wu4,xiang2,yi1,wu4)
一现昙华 (yi1,xian4,tan2,hua1)
一生一世 (yi4,sheng1,yi2,shi4)
一百 (yi4,bai3)
一百二十行 (yi1,bai3,er4,shi2,hang2)
一百亿 (yi4,bai3,yi4)
一百八十度 (yi1,bai3,ba1,shi2,du4)
一盘散沙 (yi1,pan2,san3,sha1)
一目了然 (yi1,mu4,liao3,ran2)
一目五行 (yi1,mu4,wu3,hang2)
一目十行 (yi1,mu4,shi2,hang2)
一目数行 (yi1,mu4,shu4,hang2)
一直 (yi4,zhi2)
一直走 (yi4,zhi2,zou3)
一窍不通 (yi2,qiao4,bu4,tong1)
一笑了之 (yi2,xiao4,liao3,zhi1)
一笑了事 (yi1,xiao4,le5,shi4)
一笔抹摋 (yi1,bi3,mo4,sa4)
一笔抹煞 (yi1,bi3,mo3,sha1)
一等奖 (yi4,deng3,jiang3)
一筹莫展 (yi4,chou2,mo4,zhan3)
一箭上垛 (yi1,jian4,shang4,duo4)
一篇文章 (yi4,pian1,wen2,zhang1)
一线之隔 (yi2,xian4,zhi1,ge2)
一缘一会 (yi1,yuan2,yi1,hui4)
一网打尽 (yi4,wang3,da3,jin4)
一而再 (yi4,er2,zai4)
一肚子 (yi1,du3,zi5)
一股劲 (yi4,gu3,jin4)
一股劲儿 (yi1,gu3,jin4,er5)
一臂之力 (yi2,bi4,zhi1,li4)
一致 (yi2,zhi4)
一般 (yi4,ban1)
一般见识 (yi1,ban1,jian4,shi2)
一艘船 (yi4,sou1,chuan2)
一见了然 (yi1,jian4,le5,ran2)
一见钟情 (yi2,jian4,zhong1,qing2)
一视同仁 (yi2,shi4,tong2,ren2)
一览无遗 (yi4,lan3,wu2,yi2)
一觉 (yi1,jiao4)
一言中的 (yi4,yan2,zhong4,di4)
一言为定 (yi4,yan2,wei2,ding4)
一言九鼎 (yi4,yan2,jiu3,ding3)
一言兴邦 (yi1,yan2,xing1,bang1)
一言半语 (yi4,yan2,ban4,yu3)
一言难尽 (yi2,yan2,nan2,jin4)
一语中的 (yi1,yu3,zhong4,di4)
一语破的 (yi1,yu3,po4,di4)
一诺千金 (yi2,nuo4,qian1,jin1)
一贫如洗 (yi4,pin2,ru2,xi3)
一贯 (yi2,guan4)
一走了之 (yi1,zou3,liao3,zhi1)
一起 (yi4,qi3)
一路平安 (yi2,lu4,ping2,an1)
一路神祇 (yi1,lu4,shen2,qi2)
一路顺风 (yi2,lu4,shun4,feng1)
一蹴而就 (yi2,cu4,er2,jiu4)
一蹶不兴 (yi1,jue3,bu4,xing1)
一蹶不振 (yi4,jue2,bu2,zhen4)
一边倒 (yi4,bian1,dao3)
一还一报 (yi1,huan2,yi1,bao4)
一退六二五 (yi1,tui1,liu4,er4,wu3)
一通 (yi2,tong4)
一邱之貉 (yi1,qiu1,zhi1,he4)
一重一掩 (yi1,chong2,yi1,yan3)
一针见血 (yi4,zhen1,jian4,xie3)
一钱不落虚空地 (yi1,qian2,bu4,luo4,xu1,kong1,di4)
一隅 (yi4,yu2)
一隅之地 (yi1,yu2,zhi1,di4)
一隅之见 (yi1,yu2,zhi1,jian4)
一隅之说 (yi1,yu2,zhi1,shuo1)
一面 (yi2,mian4)
一面之缘 (yi2,mian4,zhi1,yuan2)
一面之识 (yi1,mian4,zhi1,shi2)
一面倒 (yi2,mian4,dao3)
一鞭先著 (yi1,bian1,xian1,zhuo2)
一驮粮 (yi2,duo4,liang2)
一骨碌 (yi4,gu3,lu4)
一鸣惊人 (yi4,ming2,jing1,ren2)
丁点儿 (ding1,dian3,er5)
七十二行 (qi1,shi2,er4,hang2)
七拱八翘 (qi1,gong3,ba1,qiao4)
七次量衣一次裁 (qi1,ci4,liang2,yi1,yi1,ci4,cai2)
七行俱下 (qi1,hang2,ju4,xia4)
七返还丹 (qi1,fan3,huan2,dan1)
万俟 (mo4,qi2)
万别千差 (wan4,bie2,qian1,cha1)
万卷 (wan4,juan4)
万夫不当 (wan4,fu1,bu4,dang1)
万夫不当之勇 (wan4,fu1,bu4,dang1,zhi1,yong3)
万头攒动 (wan4,tou2,cuan2,dong4)
万应灵丹 (wan4,ying4,ling2,dan1)
万应锭 (wan4,ying4,ding4)
万户侯 (wan4,hu4,hou4)
万无一失 (wan4,wu2,yi4,shi1)
万箭攒心 (wan4,jian4,cuan2,xin1)
万象更新 (wan4,xiang4,geng1,xin1)
万贯家私 (wan4,guan4,ji5,si1)
万里长城 (wan4,li3,chang2,cheng2)
万里长征 (wan4,li3,chang2,zheng1)
丈量 (zhang4,liang2)
三不拗六 (san1,bu4,niu4,liu4)
三人为众 (san1,ren2,wei4,zhong4)
三十六行 (san1,shi2,liu4,hang2)
三占从二 (san1,zhan1,cong2,er4)
三句不离本行 (san1,ju4,bu4,li2,ben3,hang2)
三句话不离本行 (san1,ju4,hua4,bu4,li2,ben3,hang2)
三只手 (san1,zhi1,shou3)
三天两宿 (san1,tian1,liang3,xiu3)
三差两错 (san1,cha1,liang3,cuo4)
三差五错 (san1,cha1,wu3,cuo4)
三年五载 (san1,nian2,wu3,zai3)
三座大山 (san1,zuo4,tai4,shan1)
三徙成都 (san1,xi3,cheng2,dou1)
三战三北 (san1,zhan1,san1,bei3)
三折肱为良医 (san1,zhe2,gong1,wei2,liang2,yi1)
三更 (san1,geng1)
三灾八难 (san1,zai1,ba1,nan4)
三百六十行 (san1,bai3,liu4,shi2,hang2)
三省吾身 (san1,xing3,wu2,shen1)
三色堇 (san1,se4,jin3)
三藏 (san1,zang4)
三角裤衩 (san1,jiao3,ku4,cha3)
三重 (san1,chong2)
上供 (shang4,gong4)
上卷 (shang4,juan4)
上去 (shang3,qu4)
上吐下泻 (shang4,tu4,xia4,xie4)
上声 (shang3,sheng1)
上头 (shang4,tou5)
上将 (shang4,jiang4)
上岁数 (shang4,sui4,shu4)
上当 (shang4,dang4)
上当学乖 (shang4,dang1,xue2,guai1)
上相 (shang4,xiang4)
上调 (shang4,diao4)
上铺 (shang4,pu4)
下不为例 (xia4,bu4,wei2,li4)
下乘 (xia4,sheng4)
下卷 (xia4,juan4)
下处 (xia4,chu3)
下头 (xia4,tou5)
下巴颏 (xia4,ba5,ke1)
下调 (xia4,diao4)
下辈子 (xia4,bei4,zi5)
下铺 (xia4,pu4)
不一会儿 (bu2,yi4,hui2,er5)
不一定 (bu4,yi2,ding4)
不一样 (bu4,yi2,yang4)
不三不四 (bu4,san1,bu2,si4)
不为五斗米折腰 (bu4,wei4,wu3,dou3,mi3,zhe2,yao1)
不为人知 (bu4,wei2,ren2,zhi1)
不为名不为利 (bu4,wei2,ming2,bu4,wei2,li4)
不为已甚 (bu4,wei2,yi3,shen4)
不义 (bu2,yi4)
不义之财 (bu2,yi4,zhi1,cai2)
不了 (bu4,liao3)
不了不当 (bu4,liao3,bu4,dang4)
不了了之 (bu4,liao3,liao3,zhi1)
不了而了 (bu4,liao3,er2,liao3)
不亦乐乎 (bu2,yi4,le4,hu1)
不亦善夫 (bu4,yi5,shan4,fu1)
不亦说乎 (bu4,yi4,yue4,hu1)
不以为然 (bu4,yi3,wei2,ran2)
不以语人 (bu4,yi3,yu4,ren2)
不会 (bu2,hui4)
不但 (bu2,dan4)
不住 (bu2,zhu4)
不值识者一笑 (bu4,zhi2,shi2,zhe3,yi2,xiao4)
不兴 (bu4,xing1)
不切实际 (bu2,qie4,shi2,ji4)
不切题 (bu2,qie4,ti2)
不到 (bu2,dao4)
不到位 (bu2,dao4,wei4)
不到长城非好汉 (bu2,dao4,chang2,cheng2,fei1,hao3,han4)
不到黄河心不死 (bu2,dao4,huang2,he2,xin1,bu4,si3)
不务正业 (bu2,wu4,zheng4,ye4)
不动如山 (bu2,dong4,ru2,shan1)
不卑不亢 (bu4,bei1,bu2,kang4)
不厌其烦 (bu2,yan4,qi2,fan2)
不可奈何 (bu4,ke3,mai4,he2)
不可揆度 (bu4,ke3,kui2,duo2)
不可胜举 (bu4,ke3,sheng4,ju4)
不吝赐教 (bu2,lin4,ci4,jiao4)
不含糊 (bu4,han2,hu4)
不在乎 (bu2,zai4,hu1)
不堪一击 (bu4,kan1,yi4,ji1)
不声不吭 (bu4,sheng1,bu4,keng1)
不大方便 (bu2,da4,fang1,bian4)
不安分 (bu4,an1,fen4)
不客气 (bu2,ke4,qi4)
不寐 (bu2,mei4)
不对 (bu2,dui4)
不对劲 (bu2,dui4,jin4)
不对头 (bu2,dui4,tou2)
不对茬儿 (bu2,dui4,cha2,er2)
不屑 (bu2,xie4)
不屑一读 (bu2,xie4,yi4,du2)
不屑一顾 (bu2,xie4,yi2,gu4)
不屑于 (bu2,xie4,yu2)
不屑意 (bu2,xie4,yi4)
不屑教诲 (bu4,xie4,jiao4,hui4)
不屑毁誉 (bu4,xie4,hui3,yu4)
不差 (bu4,cha4)
不差上下 (bu4,cha1,shang4,xia4)
不差什么 (bu4,cha4,shi2,mo3)
不差毫厘 (bu4,cha1,hao2,li2)
不差毫发 (bu4,cha1,hao2,fa4)
不差累黍 (bu4,cha4,lei3,shu3)
不干 (bu4,gan4)
不干不净 (bu4,gan1,bu4,jing4)
不幸而言中 (bu4,xing4,er2,yan2,zhong4)
不当 (bu2,dang4)
不当不正 (bu4,dang1,bu4,zheng4)
不当人子 (bu4,dang1,ren2,zi3)
不徇私情 (bu4,xun2,si1,qing2)
不得了 (bu4,de2,liao3)
不得已而为之 (bu4,de2,yi3,er2,wei2,zhi1)
不必 (bu2,bi4)
不忘宿志 (bu2,wang4,su4,zhi4)
不忿 (bu2,fen4)
不怀好意 (bu4,huai2,hao4,yi4)
不悦 (bu2,yue4)
不惜一切代价 (bu4,xi1,yi2,qie4,dai4,jia4)
不愧 (bu2,kui4)
不愧下学 (bu4,kui4,xia4,xue2)
不愧不作 (bu4,kui4,bu4,zuo4)
不愧不怍 (bu4,kui4,bu4,zuo4)
不愧屋漏 (bu4,kui4,wu1,lou4)
不慎 (bu2,shen4)
不懈 (bu2,xie4)
不战而胜 (bu2,zhan4,er2,sheng4)
不战而降 (bu2,zhan4,er2,xiang2)
不拔一毛 (bu4,ba2,yi4,mao2)
不拘形迹 (bu4,ju1,xing2,ji1)
不揣冒昧 (bu4,chuai3,mao4,mei4)
不揪不睬 (bu4,chou3,bu4,cai3)
不敢为天下先 (bu4,gan3,wei2,tian1,xia4,xian1)
不敢越雷池一步 (bu4,gan3,yue4,lei2,chi2,yi2,bu4)
不料 (bu2,liao4)
不易之论 (bu2,yi4,zhi1,lun4)
不是 (bu2,shi4)
不是冤家不聚头 (bu4,shi4,yuan1,jia1,bu4,ju4,tou2)
不是味儿 (bu2,shi4,wei4,er2)
不根之谈 (bu4,gan1,zhi1,tan2)
不正常 (bu2,zheng4,chang2)
不治之症 (bu2,zhi4,zhi1,zheng4)
不点儿 (bu4,dian3,er5)
不爽累黍 (bu4,shuang3,lei4,shu3)
不犯着 (bu4,fan4,zhao2)
不甚了了 (bu4,shen4,liao3,liao3)
不用说 (bu2,yong4,shuo1)
不由得 (bu4,you2,de5)
不痛不痒 (bu2,tong4,bu4,yang3)
不登大雅 (bu4,deng1,da4,ya3)
不登大雅之堂 (bu4,deng1,da4,ya3,zhi1,tang2)
不相为谋 (bu4,xiang1,wei2,mou2)
不省人事 (bu4,xing3,ren2,shi4)
不着边际 (bu4,zhuo2,bian1,ji4)
不知薡蕫 (bu4,zhi1,ding1,dong3)
不紧不慢 (bu4,jin1,bu4,man4)
不绝如发 (bu4,jue2,ru2,fa4)
不置可否 (bu2,zhi4,ke3,fou3)
不翼而飞 (bu2,yi4,er2,fei1)
不老少 (bu4,lao3,shao4)
不耐烦 (bu2,nai4,fan2)
不肖 (bu2,xiao4)
不肖子 (bu2,xiao4,zi3)
不肖子孙 (bu4,xiao4,zi3,sun1)
不胜 (bu2,sheng4)
不胜其任 (bu4,sheng4,qi2,ren4)
不胜其烦 (bu4,sheng4,qi2,fan2)
不胜其苦 (bu4,sheng4,qi2,ku3)
不胜杯杓 (bu4,sheng4,bei1,shao2)
不胜枚举 (bu4,sheng4,mei2,ju3)
不胜桮杓 (bu4,sheng4,bei1,shao2)
不胫而走 (bu2,jing4,er2,zou3)
不能登大雅之堂 (bu4,neng2,deng1,da4,ya3,zhi1,tang2)
不自量力 (bu2,zi4,liang4,li4)
不舒服 (bu4,shu1,fu5)
不蔓不枝 (bu4,man4,bu4,zhi1)
不要 (bu2,yao4)
不要怕 (bu2,yao4,pa4)
不要紧 (bu2,yao4,jin3)
不要脸 (bu2,yao4,lian3)
不见 (bu2,jian4)
不见不散 (bu2,jian4,bu2,san4)
不见了 (bu2,jian4,le5)
不见天日 (bu4,jian4,tian1,ri4)
不见得 (bu2,jian4,de2)
不见棺材不下泪 (bu4,jian4,guan1,cai2,bu4,xia4,lei4)
不见棺材不落泪 (bu4,jian4,guan1,cai2,bu4,luo4,lei4)
不见经传 (bu4,jian4,jing1,zhuan4)
不见舆薪 (bu2,jian4,yu2,xin1)
不计其数 (bu2,ji4,qi2,shu4)
不计得失 (bu2,ji4,de2,shi1)
不记得 (bu2,ji4,de2)
不论 (bu2,lun4)
不论如何 (bu2,lun4,ru2,he2)
不费吹灰之力 (bu2,fei4,chui1,hui1,zhi1,li4)
不赖 (bu2,lai4)
不赞一词 (bu2,zan4,yi4,ci2)
不越雷池 (bu4,yue4,lei2,shi5)
不足为凭 (bu4,zu2,wei2,ping2)
不足为外人道 (bu4,zu2,wei2,wai4,ren2,dao4)
不足为奇 (bu4,zu2,wei2,qi2)
不足为意 (bu4,zu2,wei2,yi4)
不足为据 (bu4,zu2,wei2,ju4)
不足为法 (bu4,zu2,wei2,fa3)
不足为训 (bu4,zu2,wei2,xun4)
不辟斧钺 (bu4,bi4,fu3,yue4)
不辩菽麦 (bu2,bian4,shu1,mai4)
不适合 (bu2,shi4,he2)
不透明 (bu2,tou4,ming2)
不速之客 (bu2,su4,zhi1,ke4)
不遂 (bu4,sui2)
不遑启处 (bu4,huang2,qi3,chu3)
不遑宁处 (bu4,huang2,ning2,chu3)
不道德 (bu2,dao4,de2)
不重要 (bu2,zhong4,yao4)
不错 (bu2,cuo4)
不问事实真相 (bu2,wen4,shi4,shi2,zhen1,xiang4)
不问年龄大小 (bu2,wen4,nian2,ling3,da4,xiao3)
不问是非曲直 (bu2,wen4,shi4,fei1,qu1,zhi2)
不间不界 (bu4,gan1,bu4,ga4)
不闻不问 (bu4,wen2,bu2,wen4)
不随以止 (bu4,shui4,yi5,zi5)
不露圭角 (bu4,lu4,gui1,jiao3)
不露声色 (bu4,lu4,sheng1,se4)
不露形色 (bu4,lu4,xing2,se4)
不露神色 (bu4,lu4,shen2,se4)
不露锋芒 (bu4,lu4,feng1,mang2)
不露锋铓 (bu4,lu4,feng1,hui4)
不顾一切 (bu2,gu4,yi2,qie4)
与世无争 (yu2,shi4,wu2,zheng1)
与世沉浮 (yu2,shi4,chen2,fu2)
与人为善 (yu3,ren2,wei2,shan4)
与会 (yu4,hui4)
与时消息 (yu3,shi2,xiao1,xi4)
与民更始 (yu3,ren2,geng1,shi3)
与民除害 (yu3,hu3,chu2,hai4)
与赛 (yu4,sai4)
与闻 (yu4,wen2)
丑媳妇总得见公婆 (chou3,xi2,fu4,zong3,de5,jian4,gong1,po2)
丑态毕露 (chou3,tai4,bi4,lu4)
丑相 (chou3,xiang4)
丑角 (chou3,jue2)
专差 (zhuan1,chai1)
专心一致 (zhuan1,xin1,yi2,zhi4)
专横 (zhuan1,heng4)
专横跋扈 (zhuan1,heng4,ba2,hu4)
且住为佳 (qie3,zhu4,wei2,jia1)
且食蛤蜊 (qie3,shi2,ha2,li2)
东三省 (dong1,san1,xing3)
东墙处子 (dong1,qiang2,chu3,zi3)
东扯西拽 (dong1,che3,xi1,zhuai1)
东抹西涂 (dong1,mo4,xi1,tu2)
东方将白 (dong4,fang5,jiang4,bai4)
东猜西揣 (dong1,cai1,xi1,chuai1)
东莞 (dong1,guan3)
东西南北人 (dong1,xi4,nan2,bei3,ren2)
东西南北客 (dong1,xi4,nan2,bei3,ke4)
东观西望 (dong1,guang1,xi1,wang4)
东躲西藏 (dong1,duo3,xi1,cang2)
东量西折 (dong1,liang4,xi1,she2)
东阿 (dong1,e1)
丝恩发怨 (si1,en1,fa4,yuan4)
丞相 (cheng2,xiang4)
丢三落四 (diu1,san1,la4,si4)
丢下耙儿弄扫帚 (diu1,xia4,pa2,er5,nong4,sao4,zhou3)
丢卒保车 (diu1,zu2,bao3,ju1)
丢面子 (diu1,mian4,zi5)
两世为人 (liang3,shi4,wei2,ren2)
两口子 (liang3,kou3,zi5)
严丝合缝 (yan2,si1,he2,feng4)
严处 (yan2,chu3)
严查 (yan2,zha1)
严禁 (yan2,jin4)
丧乱 (sang1,luan4)
丧事 (sang1,shi4)
丧假 (sang1,jia4)
丧偶 (sang4,ou3)
丧失 (sang4,shi1)
丧家 (sang1,jia1)
丧家之犬 (sang4,jia1,zhi1,quan3)
丧家之狗 (sang4,jia1,zhi1,gou3)
丧家犬 (sang4,jia1,quan3)
丧尽天良 (sang4,jin3,tian1,liang2)
丧服 (sang1,fu2)
丧权 (sang4,quan2)
丧气 (sang4,qi4)
丧生 (sang4,sheng1)
丧礼 (sang1,li3)
丧胆 (sang4,dan3)
丧胆销魂 (sang4,hun2,xiao1,hun2)
丧葬 (sang1,zang4)
丧钟 (sang1,zhong1)
丧魂落魄 (sang4,hun2,luo4,po4)
个头儿 (ge4,tou5,er5)
个子 (ge4,zi5)
丫头 (ya1,tou5)
丫杈 (ya1,cha4)
中伤 (zhong4,shang1)
中卷 (zhong1,juan4)
中奖 (zhong4,jiang3)
中将 (zhong1,jiang4)
中弹 (zhong4,dan4)
中彩 (zhong4,cai3)
中招 (zhong4,zhao1)
中暑 (zhong4,shu3)
中标 (zhong4,biao1)
中毒 (zhong4,du2)
中牟 (zhong1,mu4)
中的 (zhong1,di4)
中缝 (zhong1,feng4)
中行 (zhong1,hang2)
中计 (zhong4,ji4)
中靶 (zhong4,ba3)
中风 (zhong4,feng1)
中风瘫痪 (zhong4,feng1,tan1,huan4)
丰屋蔀家 (feng1,wu1,zhi1,jia1)
临危不惧 (lin2,wei1,bu2,ju4)
临帖 (lin2,tie4)
临敌易将 (lin2,di2,yi4,jiang4)
临深履薄 (lin2,shen1,lv3,bo2)
临难 (lin2,nan4)
临难不恐 (lin2,nan4,bu4,kong3)
临难不惧 (lin2,nan4,bu4,ju3)
临难不避 (lin2,nan2,bu4,bi4)
临难无慑 (lin2,nan2,wu2,she4)
临难苟免 (lin2,nan4,gou3,mian3)
临难铸兵 (lin2,nan4,zhu4,bing1)
丸子 (wan2,zi5)
丹凤朝阳 (dan1,feng4,chao2,yang2)
丹参 (dan1,shen1)
丹心碧血 (dan1,xin1,bi4,xue4)
为主 (wei2,zhu3)
为之语塞 (wei2,zhi1,yu3,se4)
为五斗米折腰 (wei4,wu3,dou3,mi3,zhe2,yao1)
为人 (wei2,ren2)
为人作嫁 (wei4,ren2,zuo4,jia4)
为人师表 (wei2,ren2,shi1,biao3)
为人说项 (wei4,ren2,shuo1,xiang4)
为什么 (wei4,shen2,me5)
为仁不富 (wei2,ren2,bu4,fu4)
为伍 (wei2,wu3)
为啥 (wei4,sha2)
为善最乐 (wei2,shan4,zui4,le4)
为国为民 (wei2,guo2,wei2,min2)
为国捐躯 (wei2,guo2,juan1,qu1)
为好成歉 (wei2,hao3,cheng2,qian4)
为害 (wei2,hai4)
为富不仁 (wei2,fu4,bu4,ren2)
为山止篑 (wei2,shan1,zhi3,kui4)
为德不卒 (wei2,de2,bu4,zu2)
为德不终 (wei2,de2,bu4,zhong1)
为恶不悛 (wei2,e4,bu4,quan1)
为患 (wei2,huan4)
为所欲为 (wei2,suo3,yu4,wei2)
为政 (wei2,zheng4)
为数 (wei2,shu4)
为时 (wei2,shi2)
为时过早 (wei2,shi2,guo4,zao3)
为期 (wei2,qi1)
为止 (wei2,zhi3)
为此 (wei4,ci3)
为民父母 (wei2,min2,fu4,mu3)
为法自弊 (wei2,fa3,zi4,bi4)
为生 (wei2,sheng1)
为着 (wei2,zhe5)
为虎作伥 (wei4,hu3,zuo4,chang1)
为虺弗摧 (wei2,hui3,fu2,cui1)
为蛇添足 (wei2,she2,tian1,zu2)
为蛇画足 (wei2,she2,hua4,zu2)
为裘为箕 (wei2,qiu2,wei2,ji1)
